text,actual_label,predicted_label,confidence
http://twitpic.com/8crdt - @DominiqueWard they wrapped my apple pie in a bacon and egg mcmuffin packet cheap shits!! LOL but there you go,0,1,0.5919687
@sufficiency We saw something similar today but it was a mama goose and 4 goslings,1,0,0.5484939
@TheCardinals Such a sad night for the Cards!!,0,1,0.5947366
Trying to book up summer holidays is tres difficult. Esp when you have gigs and work to &quot;work&quot; around. oh and a budget!,0,1,0.57075846
"@WerewolfJacob hey there, i missed trivia tonight",0,1,0.54486555
Posted on Ocean in sobe enjoying a hookah with the girls! Not ready to deal with next week!,0,1,0.543915
how can there only be 17 hot guys?!?!?!?!!?!?,0,1,0.5401351
@SKILLETfan01 pretty much just seeing them live on Fuse is just bringing tears to my eyes! Leroy was my sax icon,0,1,0.57888263
is beginning his annual &quot;changing the locks&quot; on the Interwebz. It just felt like a good time to do so.,1,0,0.5436083
"Nooooo... not Google! Take hotmail, msn, anything but Google. Oh the humanity!",0,1,0.56014144
haven't tweeted much today... going to bed a lot earlier tonight really tired! goodnite loves &lt;3,1,0,0.524003
"@kismet100 I'm alright. Today was fun at first, then slightly stressful but easy to get over.",1,0,0.5454472
needs heLp from a wordpress theme expert http://plurk.com/p/ywsk3,0,1,0.542237
"@syeelamarlina s-ma... my hp telah meninggal dunia.. sedey.. anyways, howd the interview go?",0,1,0.5060385
is studying the chapter on &quot;organizational Agility&quot; #@$^&amp;,0,1,0.51642156
"@shintabubu hey shinta! i'm headed to bed now, but perhaps tomorrow night - when our hours overlap...",1,0,0.55816746
.@SpacieStaycie what's your day have in store before Mr Matthews?,1,0,0.5098193
OMG!!! @MPaintal and @ptserkonis I just read about some brit who came up with an idea to dispense flip flops from a vending machine!!!!,0,1,0.5890408
@itscalum010 you really are having a bad day awhh!!!,0,1,0.56068236
"4 days of school left, then hanging the whole weekend, then grad 2 days later",1,0,0.594787
Extra̱andoteeeee,0,1,0.5058714
looking forward to a great weekend of revising for gcse's on monday pah! nicht..,0,1,0.5027711
@mileycyrus http://twitpic.com/6shtr - im so jealous of ur hair,0,1,0.56501794
12 hour day and I'm tired as hell!!!,0,1,0.5051785
@ISEENTHOS,0,1,0.5971726
last night having Claire around and really hoping her time in the US will be quite simply amazing!,0,1,0.552735
@IRe_laNd,0,1,0.5687283
@mcflymusic say happy birthday nanda to @nanda_marinho please,0,1,0.6100074
Is jumping in the pool at work with my students! I can't wait!,1,0,0.54234165
@getmark I hope I get to enjoy it; I'm on stby til the time I usu wakeup. Plus I'm w that CPT from before...,1,0,0.54909337
"edskee: pepiberto: Is that a ghost-trap from Ghostbusters in column 2, row 3? Reblogged for the Ghostbuster.. http://tinyurl.com/muq6g6",0,1,0.5443653
@Natalie_Lupiani .. hi.. i will be in napoli for 2 months starting next week. maybe u can suggest some must visit places and must dos,1,0,0.5146415
Oh I love making things awkward by stating my distaste for religion and church at slightly appropriate moments,1,0,0.575318
@rachaelblogs Good for you Rachel. I have nowt,0,1,0.5399898
"@beckafreds damn, i was looking for my shadow",1,0,0.55370015
feels like he should get out of bed... but it just sooo warm and cosy,1,0,0.6497986
I knoowwwww,1,0,0.5517944
Goin out drinkin. Gonna b on here tweetin drunk later.,1,0,0.55956453
@Ciara_b_ awwww! I'm stuck in stupid work aw well only tomorrow to go!,0,1,0.5216166
"@SonjaNorwood hey sonja, i just wanted to let you know you and your daughter are such a beautiful women, and hope that you follow me...",1,0,0.5104722
"@BevaniteEllie did @kerryMP put on a good show on The Politics Show? I missed it If I had known she was on, I would have watched!",0,1,0.53139645
"roommate was puking in bathroom, i went downstairs to use bathroom, met two drunk dudes, they think im hot",1,0,0.63939
@ayuparamita you tooo baby! You got your own 'concert' in God's land. I am envy.,0,1,0.53308773
@rhertz In chicago,0,1,0.5316391
can't believe my family are all still asleep at 9.10am. How considerate. I am slightly hungover so having coffee and stodge in peace,1,0,0.6628891
"@iambluecube Sorry Nath, would like to but I've got so much to catch up on thanks for the offer though mate",0,1,0.51428837
@mazzyg Thanks. I know it's for the best. But cleaning out the carrel was tough.,1,0,0.52265316
Hanging with my girls,1,0,0.5445466
8 year old's summer camps start today.Enlisting 4 old as my mini- planner/summer intern. Summer is here-time to get creative with kids.,1,0,0.51165825
i love my new. and I hope that this week goes alot better than last week,1,0,0.5248108
"@desrosiers you two have loads of fun for me and keep me in mind on the june 19th, cause its my birthday &lt;33",0,1,0.58048165
@Bahamabob One four hour phone call? I've done that before.,1,0,0.53800046
"Working, listening to The Edge radio station, awesome station.",1,0,0.54633546
the weekend was soo awesome....,1,0,0.55723447
"@ladymaryann Oh no, I don't want to mention that thing with the hat more than Anoop in my updates",1,0,0.56807494
"http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint",0,1,0.5277732
"@RainbowAnne Well, it was a nice thought while it lasted. Maybe he'll leave properly next time *crosses fingers*",0,1,0.50618726
