text,actual_label,predicted_label,model
"This is a bit of a puzzle for a lot of the artsy Lynch crowd. They tend to try to write this off as some kind of meaningless, crude, side project of Lynch's. Like this is Lynch passing gas between his real pieces of film art. Well it may be a fart, but its one of those intriguing farts that you catch of a whiff of and are embarrassed to admit you enjoy.<br /><br />Dumbland distilled down beyond this is art. What can you do with aspects of modern life but laugh at it. If you took it seriously you would go nuts. You hook into it, smell it, taste it, feel its agonies, its unreasoning stupidities, and then express it in any medium you choose. Thats called art, and art isn't dumb. But it is Dumbland.",positive,negative,Logistic Regression
"Spoilers !!! To understand what really happened first you have to be a warrior, to stay alive in real war, to think off-line,analytically,critically and not linear. Otherwise you will come to false conclusions that Maj.Gray was dumb or unstable person. Truth is something completely different. He was firm hardened veteran and only way he could be killed by Capt. O'Malley is that he wants her to kill him. It was his way out. He choose it. He was not man who will retire. If you've never been on a first line you can't understand it. He intentionally prepare his own suicide. First he seduced Mary Jane, than intentionally acted as a dumb, than stageed argue - shutting incident before witnesses (to protect her later after she done what he wants her to do if it comes to trial), than gave her son a bullets (to assure he could load her gun later), came that night, loaded her gun, woke her up, put her gun in her hands, acted as he was attacking her, after shot first time he raised knife and cried ""One kill"" so she shot him again and before died he put knife off like he was trying to took him back again after first shot. He also gave her a message with his last cry. ""After first kill everything will change inside your mind and destroy your life, this is the the only way for me to die as a man, yet to be killed by somebody I love is my choice and my only prerogative, war and army is not what you thought so far, grow up finally and save your life till you can"". She left military life at the end. She did understand him. And he did not die in vain. The man who helped him to prepare all that and after to carry out the trial and the outcome of that trial was Col. Sam Doran with help of Lt. Tim Macy. Macy didn't know what is really going on and what will be the outcome but did what he was expected to do. He took photos of Mary Jane and Maj.Gray by order of Col. Sam Doran who gave that order because Maj.Gray asked him to do that. After she refused to leave army (what Col.Doran asked her to do) Col. Doran convinced prosecutor to charge her with a premeditated murder (he knew she cant be found quilty) instead of manslaughter (there was some possibility to be found quilty) with taken photos. Col.Doran also suppress argue-shutting incident to escalate to prevent prosecutor to have any doubt about premeditated murder charge but let it be revealed during the trial what greatly influenced the jury. I have no doubt about outcome of that trial. Why Col. Doran did that way? Because he will do anything Maj.Gray ask him to do. Why? Because he saved his life on a battlefield. Why Mary Jane choose to go to trial? Because she was a person who have integrity, a principles. And that is why Maj.Gray choose her. It has to be somebody deserving, somebody honourable. Keeping his secret about what really happened that night she also prove her honour.<br /><br />Miroslav",positive,negative,Logistic Regression
"So what constitutes a real independent film? In a day and age where the latest fad of mainstream hollywood is to appear rugged and cutting edge, I'm sorry to say that what the general public tends to perceive as independent film is usually nothing more than a clever marketing ploy.<br /><br />Which is why we should be glad that films like ""Hatred of a Minute"" exist. Across the board, this film makes a point out of contradicting its own template (indie horror film). Love it or hate it, ""Hatred"" isn't afraid of being what it is, and in watching this film, you get the real sense that Kallio (the director) didn't just make this film to spray fake blood all over the place, he's in this to tell stories. Good ones. You may find this film in the horror film section of your video store, but don't be fooled, this story is also about love, about good people pushed over the edge, and that oh-so-distant light at the end of the tunnel.<br /><br />If you expect smut, or an Evil Dead ripoff, stay away from this film. But if you dig the finer points of the horror/suspense genres, check this film out.<br /><br />Yes. Bruce Campbell did produce this movie, and I'm sure he's proud to tell anyone that it's not ""Evil Dead"". Bruce has never tried to bank on his ""ash"" image, and it's obvious that he didn't get involved with ""Hatred"" so that it could do so either.<br /><br />My advice, though, to all Dead-ites rabidly devouring anything issued by Mr. Campbell is to check this film out anyway and see what else Mr. Kallio and Mr. Campbell are trying to show you.<br /><br />The acting is well done, although nothing about this film is oscar caliber (perhaps intentionally), it's good to see compassionate performances in a horror film. So often, actors in films such as these don't even seem to try, with ""Hatred"", it seemed as though all the actors took thier charecters very seriously, never resorting to typical horror-film campiness.<br /><br />Technically, ""Hatred"" is about as competent as indie film gets. The editing is fast paced, the cinematography is good given the budget, and ""Hatred"" keeps a quick pace, without any bog-down points or bad anti-climaxes.<br /><br />All in all, Hatred may not have the glossed over look of all those multi-million dollar fake indies, but personally, I don't see a problem with that. It's a film by folks who actually care about the medium. People who reached into thier broke ass pockets, pulled out thier nickles and dimes, threw caution to the wind and made a damn good movie.<br /><br />Check this one out.",positive,negative,Logistic Regression
"35 years after this was made, Castro still reigns. Unfortunately, we're left scratching our heads wondering how the dim-witted maniac played by scenery-chewing Jack Palance made it as far as 1960. I stumbled back across this recently, and was amused at noticing the incomparable Sid Haig and ""B"" movie favorite Paul (Untouchables) Picerni among the rebels. Fleischer was obviously well past his prime when he directed this foolishness. Some of the lines are classic in a ""Did he really say that kind of way?' The other thing I just noticed is that the score and the sound (NOT the dialog) are actually excellent -- the only first-rate elements of the entire production. So, don't watch this to learn anything about history or acting, but if you feel like watching this as a goof, bring the beers and have some fun.",negative,positive,Logistic Regression
"Although this movie is inaccurate overall, there are some items that may be true. Certainly, he was a wild character in his youth, having played practical jokes on his fellow cadets at West Point, almost expelled several times, graduating last in his class (of 34), and often reckless in his leadership during the Civil War.<br /><br />But history may have made him a scape goat of the Indian Wars. Certainly, he did his share of cruel things, but how much was he under orders? Also, there is evidence that he testified before Congress (at great risk to his commission and command) that he argued about the fairness of breaking treaties with the Indians and that if he was an Indian he would also fight rather than live on a reservation! <br /><br />As a character said in the play 1776 when asked what will be said about the British about losing the Revolutionary War, the character states ""history will do what it always does...it will lie."" Who knows how bad a man Custer was. Certainly he wasn't the sympathetic character as portrayed by Errol Flynn and later by Ronald Reagan. But I also doubt he was completely evil as he is later portrayed.",negative,positive,Logistic Regression
"Okay maybe it was because I happen to be in Yangchun China when I saw this movie. Maybe it was because I finally had something on TV I could understand or at least read the subtitles, or maybe it was just funny. Whatever it was this movie was worth the time.<br /><br />I had just arrived for my foot and head massage when they gave me the remote so I could watch TV. Usually I would turn the darn thing off but I stumbled upon this crazy movie and got hooked.<br /><br />The plot if you could call it a plot sort of revolves around a cooking competition and sort of is a love story and the food in this movie is the real star. If you like Iron Chef and many of the other cooking shows currently in the reality TV mode, then you will love the scenes with food in this movie.<br /><br />It goes fast and the subtitles are so fast you better be up on speed reading for this one. However the action is mostly slapstick so you don't always have to read the entire subtitle to get the idea.<br /><br />The main actress is lovely eye candy and the main actor isn't bad to look at either. They are both worth watching. Finally if you have some time to kill and want a good laugh this isn't a bad choice for both.<br /><br />I don't speak a word of Chinese but I was totally able to understand the cultural humor of this film. For those who do speak Chinese maybe it is even better. Overall I give this an 8 out of 10 and currently I am even looking to find a copy to have while I stay in China, and keep for when I come back home, it will be a nice reminder for me of my time in Yangchun and a silly afternoon at the massage salon watching a silly movie.",positive,negative,Logistic Regression
"This was a less than exciting short film I saw between features on Turner Classic Movies recently. While the film popped out due to its very intense Technicolor, the film itself just wasn't that moving and at times the plot looked pretty cheesy--like this was made for classroom use and capturing the attention of a wider audience WASN'T even a consideration. In particular, I really hated how many times in the film things were reiterated--such as when the characters talked to her, they usually said ""Clara Barton"" instead of ""ma'am"", ""Miss Barton"" or ""Clara"". Plus, one sickly confederate soldier said that he was a ""Johnny Reb, A Confederate a Rebel,...""--almost like he was the cartoon character Mojo Jojo from the Powerpuff Girls. This was just sloppy writing--period.<br /><br />It was interesting to see John Hamilton (later, ""Perry White"" on the SUPERMAN TV show) in a beard as President Garfield. Yep--it's him under that beard.",negative,positive,Logistic Regression
Very good except for the ending which was a huge disappointment.<br /><br />The script was very good as was the acting. The visuals were often very grainy but this in a way added to the film as the snowy features were in good places that helped create a mood towards the film. This affect was ruined by the extremely unbelievable ending. <br /><br />I was going to give this film an 8 out of ten but the ending knocked it down a point to 7 because it seemed to depart radically from the first 75 minutes of the movie and seemed quite forced at the end to make the film makers look clever. <br /><br />This movie though was much better than films with quite a lot larger budgets and seemed to be filmed like a home movie with some extra equipment. Not much in the way of special effects as these go but for suspense it was very good.,positive,negative,Logistic Regression
"Probable reasons why so many people on this site have enjoyed this:<br /><br />1. They might not have read the book. 2. They might enjoy gore and violence in a film. 3. They might be very young and therefore not understand the violence. 4. People might not understand how somehow more scary and more violent it is compared to the original book. 5. There are sure to be many other reasons not covered here.<br /><br />The only thing I liked about this film is the song ""'Bright Eyes"".<br /><br />If perchance, you happen to be one of those people who has read the book, enjoys calm and peaceful films without violence and are quite old and understand scariness and violence, you are sure not to like this. Otherwise you will almost definitely enjoy this.<br /><br />Like in the book, a rabbit called Fiver in an unsuspecting warren warns of terrible danger to come. Only a few rabbits - including his brother Hazel - believe him and they set out on a dangerous journey to find a new place to live...",negative,positive,Logistic Regression
"I being of Puertorican descent, had mixed fillings about this ""documentary"". First I was offended that Ms. Perez compared Senor Campos to Che Guevarra. Also just a point of fact,Mr. John Leguzaimo is not of Puertorican descent.His parents came from Columbia. Whomever did research on this was not very accurate. I feel that the future of our race rests on education. This message should have been resounding throughout this film, Education is our road to freedom and power I think any future endeavors of this production team should make this their focus.In my opinion,this film swayed toward an anti-American sentiment.",negative,positive,Logistic Regression
"This movie shows me, that americans have no knowledge about the situation in the sad balkan-brother war! Please, if you want to see umpire movies with this theme, watch ""Savior"", and you will see that nobody is ""bad""- and nobody is ""good"" in this land of tears and sorrows...",negative,positive,Logistic Regression
I really liked this movie despite one scene that was pretty bad (the one when Samantha and Nick are flirting in the hotel). The story is so cool and can't wait to read the book! Bravo for the super station!,positive,negative,Logistic Regression
"I saw this at my in-laws' house one night when it popped up on TV and my mother-in-law said it was one of her favorite movies. Well, she can have it.<br /><br />Look, I can enjoy a chick flick now and then, as long as it's good. But this one's extra-sappy, unrealistic, and just plain predictable, despite some decent performances from Rock Hudson and Jane Wyman. It's uncanny how quickly a woman can accept having her eyesight taken away from her. Oh well, they say love is blind...<br /><br />The neat and tidy happy little ending nearly made me gag, too. And how often did we need Otto Kruger repeating the title? It happened not once, not twice, but THREE times!",negative,positive,Logistic Regression
"Actually, this is a lie, Shrek 3-D was actually the first 3d animated movie. I bought it on DVD about 3 years ago. Didn't Bug's Life also do that? I think it was at Disneyworld in that tree, so I'm saying before they go and use that as there logo. Also, Shrek 3d was a motion simulator at Universal Studios. They should still consider it as a movie, because it appeared in a ""theater"" and you could buy it for DVD. The movie was cute, at least the little flyes were. I liked IQ. I agree with animaster, they did a god job out of making a movie out of something that is just a out-and-back adventure. I recommend it to families and kids.",negative,positive,Logistic Regression
"Anna lives with her family in a new housing estate just outside the city. She has been with her husband Sebastiaan for years and they don't talk so much anymore. While on a working visit abroad, a female colleague commits suicide. Anna is deeply impressed by her death, even though she hardly knew her. Nobody seems to know why she took her own life. For the first time Anna realizes that one can be an unknown among your most dearest. Anna doesn't mention the incident back home and starts observing her husband and child. Guernsey is the story of a woman who suddenly starts looking at her own life. And she wonders how she got so drifted apart from the people closest to her.<br /><br />(This is my translation of the DVD cover text synopsis. I hope you find it useful, as this movie doesn't have an IMDb Plot Summary yet at this date.)",negative,positive,Logistic Regression
"I am quite a fan of novelist/screenwriter Michael Chabon. His novel ""Wonder Boys"" became a fantastic movie by Curtis Hanson. His masterful novel ""The Amazing Adventures of Kavalier and Clay"" won the Pulitzer Prize a few years back, and he had a hand in the script of ""Spider Man 2"", arguably the greatest comic book movie of all time.<br /><br />Director Rawson Marshall Thurber has also directed wonderful comedic pieces, such as the gut-busting ""Dodgeball"" and the genius short film series ""Terry Tate: Office Linebacker"". And with a cast including Peter Saarsgard, Sienna Miller, Nick Nolte and Mena Suvari, this seems like a no-brainer.<br /><br />It is. Literally.<br /><br />Jon Foster stars as Art Bechstein, the son of a mobster (Nolte) who recently graduated with a degree in Economics. Jon is in a state of arrested development: he works a minimum wage job at Book Barn, has a vapid relationship with his girlfriend/boss, Phlox (Suvari), which amounts to little more than copious amounts of sex, with no plans other than to chip away at a career for which he has zero passion.<br /><br />One night at a party, an ex-roommate introduces Jon to Jane (Miller), a beautiful, smart violinist. Later that night they go out for pie, and she asks Jon a question that begins to shake him from his catatonic state of existence, ""I want you to tell me something that you have never told a single soul. If you do, it will make this night indelible."" Jon then tells her a reoccurring dream of his in which he wanders about town looking at the faces of strangers passing him by, yet none of them look him in the eye. ""I imagine it must be what death feels like,"" he says.<br /><br />The next day Jane's wild boyfriend Cleveland (Saarsgard) kidnaps Jon from work and takes him out to a hulking abandoned steel mill, and soon Jon, Cleveland and Jane are spending every waking moment together going to punk rock concerts, doing drugs and drinking lots of alcohol. This doesn't sit well with Phlox, who pushes Jon for a more personal relationship, namely letting her meet his new friends and his father. The film then attempts to take us on Jon's journey as he shakes off the shackles imposed on him by his father, Phlox and his dead-end job as he finds freedom and expression through his relationships with Cleveland and Jane.<br /><br />There is a problem having us follow Jon throughout the film: he's completely uninteresting. He has no ambitions, passions or goals. He walks through life like the invisible wraith he described to Jane the night they met. At the outset this isn't a problem. But he never gets any more interesting. He's a completely passive character. He simply follows along the bohemian Cleveland and Jane, but he never once gives us any inkling as to what he cares about or wants to to do with himself.<br /><br />Consequently, the film and its supporting characters have nowhere to go and little to do other than party, have sex and get in arguments. In other words, much ado about nothing. What we have here is the shallow skin of a good movie without anything on the inside. Sweeping cinematography, ponderous voice-over with characters staring off into the distance, lots of sex scenes both straight and gay, big arguments, more angry sex, a chase scene and a tragic death... but it doesn't seem to matter. Ironically, at one point Jane, confused at a number of Jon's aimless actions, asks him, ""What's going on, Jon? What is this all about?"" Yes, Jon, do tell. We in the audience are dying to know, too.<br /><br />The title ""The Mysteries of Pittsburgh"" must refer to the characters themselves, because that's what they are. They are all facades, one-dimensional stand-ins for actual people. The film never lets us in. We never know what makes any of them tick. We see them do lots of things, but we don't know why. And the absence of ""why"" is one of the worst things a movie can have.",negative,positive,Logistic Regression
"I'll have to admit that I'm at a disadvantage here; when I learn more about a film from other reviewers than from watching it myself, then that's a problem. Although the plot of ""The Man Who Knew Too Much"" seems generally straightforward, the movie allows too many cryptic elements to get in the way of what could have been a satisfying mystery. By the time we get to the scene where a witchy looking woman establishes the secrecy of ""the first degree of the seven fold ray"", I didn't know whether to laugh or rewind to see if I missed something.<br /><br />In retrospect, the cryptic note retrieved by Mr. Lawrence (Leslie Banks) from the handle of a shaving brush was a craftily written message, leading to a dentist named Barbor, and eventually to the Albert Hall, a place, not a person as indicated by ""A. Hall"". But for all the intrigue, it's never made clear why the assassination target was being eliminated. Okay, so Louis Bernard was killed because he knew of a plot to assassinate a diplomat named Ropa, but why was Ropa a target? Come to think of it, why was the note even written and secured in the shaving brush? Did Bernard have to refer to it every now and then to remind himself what was going to happen?<br /><br />With it's disjointed scenes, ""The Man Who Knew Too Much"" is hard to follow and a bit disorienting, however I'll give Alfred Hitchcock credit for this early effort. For perspective, I'll have to watch some of his other work of the same era, though this movie certainly can't hold a candle to his later works like ""Psycho"" or ""North by Northwest"".",negative,positive,Logistic Regression
"As someone who has seen and followed Hartley's public work for several years I think much of what used to be fiction told through true stories has been elevated into obscure philosophical mind games.<br /><br />While entertaining, Fay Grim is another step in the Henry Fool line of thinking, where the movie reflects the quality of an object within the movie itself. In Henry Fool, the object is the memoirs... In Fay Grim, the object is encrypted memoirs - which are themselves stolen, forged and trans-mutated into something so obscure it can't really make any sense - i.e. the process of script writing and film-making in the modern era - where most blockbuster films are little more than a mash-up of the past. That is, in a philosophical sense, what Fay Grim is all about. The object, perhaps, is the tragedy that shock is now cliché and dull (as hinted in the opening scenes at the publishers office).<br /><br />That being said, many of the movie best points are lost if you do not understand Henry's character and the significance of the memoirs being looked for. Henry is a thinly veiled devil, first visiting Simon as a modern Faust, etc. Without understanding how tragic Henry's character is, much of the quality of Fay Grim's plot and story is lost.<br /><br />And there is not enough 'detail' expressed through verbal flashbacks - knowing the plot of Henry Fool cannot compare to 'feeling' the quality of the characters as one did in Henry Fool, and so I think for someone who walks into this movie cold there is about 10 minutes of 'so what' responses to highly constructed dialog and then that's it.<br /><br />However, Henry Fool was also my least favorite Hartley film until I realized that it was bad - putrid and infested - precisely because Henry Fool's confessions were bad... not just raunchy or dirty, but inescapably broken. Henry can not even be a proper villain - and this is perhaps the tragic flaw that makes him most endearing... like Gollum in Tolkien's works, Henry is pitiable.<br /><br />That doesn't come across in Fay Grim, although Henry's dialog is excellent. What does come across is that the entire movie is constructed as an encryption - a sort of molding of another plot around what ends up being yet another bad story to add to henry's confessions. It is an interesting twist, but one that can't really be digested without viewing the first film. Perhaps showing more of Henry earlier on would have been better than having the publisher describe the basic storyline of the first movie - although this plot is also not really what the first movie was about - unless perhaps one is a casual observer.<br /><br />Part of the encryption? Hard to say... a little disappointed at the sex gimmicks though. Cheesy.",positive,negative,Logistic Regression
"Calling this a romantic comedy is accurate but nowadays misleading. The genre has sadly deteriorated into cliches, too focused on making the main couple get together and with very little room for ambience and other stories, making it formulaic and overly predictable.<br /><br />The Shop Around the Corner does not suffer from these illnesses: it manages to create a recognisably middle/eastern-European atmosphere and has a strong cast besides the (also strong) nominal leads; I avoid using the words 'supporting cast' as for example Mr. Matuschek (Frank Morgan) has a central role to the film and his story is equally if not more important than the romance.<br /><br />The 1998 film You've Got Mail borrowed the 'anonymous pen-pal' idea from this film and has therefore been billed as a remake. This is not correct and in fact unfair to the new movie - it shares the genre and borrows a plot element, but that is all.",positive,negative,Logistic Regression
"All the reviewers are making one big mistake. This movie was not suppose to be taken seriously.<br /><br />It was made for kids and teens of the late 80ies or early 90ies and as such it was truly a film of it's time. If you hated that period, or love the first movie so much that you can't even take a joke about it, then this is garbage, but only because it wasn't meant for you. The low budget here and failure of the Beastmaster 1 at the box office (grossed under four mil. with a nine mil. budget) were obviously the reasons to drop the seriousness of the original and to put it in the present day. You can complain about the story, dialog or logic, but again this was made to run, not to win races. If the movie had tried to take itself seriously it would be a total failure, but it doesn't do that for a second (in ""our"" world, Dar sees a movie theater that's advertising The Beastmaster 2, enough said). To paraphrase Clint Eastwood from Dirty Harry movies: This movie knows it's limitations. It's more of a comedy/parody then usual adventure. Soundtrack (for the time) was also great. Actors aren't taking themselves that seriously either so even the usually irritating ""spoiled rich brat"" role (played here very well by young Kari Wuhrer) turns out good. <br /><br />So, if you are nostalgic for the 80ies/90ies (cheese) culture, or you liked the first part, and don't mind going out on a cheese limb, you'll have tremendous fun with this attempt to revive Dar in the 90ies (literarly). This is not really the sequel to the first, and don't watch it if that's what you want. It's more of a ""what if"" fantasy sequel.<br /><br />As for the ""why different dimension and not just different time"" question: When in history did we have those tall winged humanoid creatures that suck the flash of bones (from the end of part 1)? By the way, the movie ends in the Zoo because of an attempt at a cheap (moneywise) big finale. It's suppose to be the best place for Dar to show all his moves (him being the manipulator of animals).",positive,negative,Logistic Regression
"To my eternal shame, I've never seen a silent movie - not even the mother of all vampire movies, ""Nosferatu"". However, if they display half the creativity and sheer joy of this effort from Buster Keaton then I'll probably try to watch a few more. This is genuinely funny as well as being a stunning introduction to the world of the silent comedies. The premise, such as it is, focuses around an unfortunate case of mistaken identity as Keaton is mistaken for renowned bad-guy Dead Shot Dan (co-director Malcolm St Clair). This leads to a number of chases and escapes as the authorities get ever closer to the increasingly desperate Keaton.<br /><br />You're left amazed and entertained in equal measures. Keaton is a natural comedian but also an accomplished stunt-man, judging by the way he leaps and jumps around like Jackie Chan on speed. And the comedy is also of an exceptionally high standard - my Better Half had to cut short a phone call to her parents because she was laughing too much! If you've never experienced a silent movie like this then it is nothing short of a revelation to watch - it certainly blew away any ideas I may have had about silent films. Naturally, it isn't as polished as today's movies - the acting is pretty awful, truth be told but that doesn't matter because you're enjoying the movie regardless. Anyone with a passing interest in movies in general should make the effort to watch this because they will not be disappointed. Brilliant!",positive,negative,Logistic Regression
"Well, first of all - i am a big fanatic of horror movies, but however - I am pretty sick of all those damn American horror movies. They are all about the same thing - blood and violence. It's not even creepy. Well, it's nothin wrong with the blood and all that - doesn't even bother me - but that's not what makes a movie creepy! That's why I find this movie entertaining - it's fun to see a satire which is making fun of the koncept ""main horror USA"". American splatter/gore-movies, they are not suppose to be creepy, only funny. That's OK. But when they're suppose to be ""creepy"", it mostly gets pathetic. However, there are a few great american horror movies (Poltergeist, Psycho, Birds), but in the end it's all the same thing. That's why this movie came as a relief. Evil Ed is not just a cult movie - it's a classic! I can't wait untill master director Anders Jacobsson makes another goddamn splatter movie! Untill than I have to watch Evil Ed again - and again - and again! But I don't care - it is such an outstanding movie!",positive,negative,Logistic Regression
