text,actual_label,predicted_label,model
The ultimate sunbathing pose from the cat http://yfrog.com/5ebkoj,positive,negative,Logistic Regression
@dannywood I thimk you were working on those muscles we love so much.,positive,negative,Logistic Regression
Long walk home in the dark remedied by the making of a double batch of chocolate brownies,negative,positive,Logistic Regression
"@hermioneway Virgin america has wifi, V atlantic not (via @seikatsu)",negative,positive,Logistic Regression
@cyberchick09 haha I'm good...I'm washing clothes lol,negative,positive,Logistic Regression
@madeofhoney1 where going to dinner. i love you. i didnt like how u were mean. bye. if ur gonna be mean then,negative,positive,Logistic Regression
Why did Rafael Nadal had to get out?? He is such an amazing talent to watch!,negative,positive,Logistic Regression
"@lounginglinda Ouch. Their biological clocks are quiet wonky, aren't they? Hee. B. loves schedule. As long as it doesn't match mine.",positive,negative,Logistic Regression
"@Dansharon - chilling here, have to get back to chores",negative,positive,Logistic Regression
At @megan245's house,positive,negative,Logistic Regression
Havin fun in Cali but really miss home and my amazing friends,negative,positive,Logistic Regression
Goefer's emotions are contageous,negative,positive,Logistic Regression
It would be ridiculously wonderful if the sun decides to show its beautiful face...its a bobby pin day,negative,positive,Logistic Regression
"wow, 11 followers. am i that bad? haha jks, follow me! i'd like 20 by tmrw LOL",negative,positive,Logistic Regression
"I'm awake, after another long night crying, sleeping, feeding and pooping: classic baby life",positive,negative,Logistic Regression
@meaganjulie well fine then meanie,negative,positive,Logistic Regression
has to many emails to write,negative,positive,Logistic Regression
@valensarahi21 Why u don't want to go out?Have so fun,positive,negative,Logistic Regression
"Hey Eric (@ekillianva)!!! So good to see you on here although you're following me, but haven't approved me yet!",negative,positive,Logistic Regression
getting ready to go away tomorrow.,positive,negative,Logistic Regression
"@amandabynes Hope you are having fun for me, Amanda - I had to work!",negative,positive,Logistic Regression
@TraceyMmm im drinking champers.... its my bros 21st and im confined to the house. but mmm pink bubbles!,negative,positive,Logistic Regression
says the boys are going to Carowinds today! I hope it stays overcast but doesn't rain on them! http://plurk.com/p/rkipb,positive,negative,Logistic Regression
@valleseco happy days! ...except I'm off to Germany with year 8... on a coach I must have been evil in a previous incarnation...,negative,positive,Logistic Regression
@kymby I know!!!,negative,positive,Logistic Regression
"@Arroxane TweetDeck has filtering, allows you to exclude text...or ppl. I used it to exclude #24 one night.",positive,negative,Logistic Regression
@mnrmg 3 hours?! Wuzzup wif that?! Why so far?,negative,positive,Logistic Regression
"@oldmanknott nice dude. Mr Henry enjoyed it, I'm guessing. Listening to an awful cover of mandolin wind on spotify acoustic moods of rod",negative,positive,Logistic Regression
@trickyshirls and how long have you had that mouth and you still can't hit it LOL,positive,negative,Logistic Regression
"after just a day, ive run out of ideas to write on my blog maybe my mind will sort itself out after exams!",negative,positive,Logistic Regression
"@Rove1974 With your new wife i see you now neglect your twitterers haha don't neglect us! Can't wait till next show, missed the last one",negative,positive,Logistic Regression
Was rudely awoken at 3am!,negative,positive,Logistic Regression
aidan and that greg bloke please,positive,negative,Logistic Regression
@XkissthecupidX im mad we hold a conversation better on here than through text,negative,positive,Logistic Regression
@wendy_uk Yay! I asked Eddie yesterday bu she away next weekend,negative,positive,Logistic Regression
Mon futur Tshirt http://tinyurl.com/n2nwyr,positive,negative,Logistic Regression
"QualitÃ¤t nich die beste, trotzdem, muss man LAUT ANHÃREN: http://bit.ly/RGk62 Makes you feel goooood",positive,negative,Logistic Regression
@nick_carter I know!! I can fall of the bed! BIG dream!,negative,positive,Logistic Regression
"@1capplegate Buon Giorno. How are you? No rain today in Italy, i'm glad",positive,negative,Logistic Regression
@chathuraw What's the phone you planning to buy what ya using now?,positive,negative,Logistic Regression
watching Idol before bed. Exhausted. 7 day work week is never fun....,negative,positive,Logistic Regression
@lcstranslations i supposed that! did u get any sleep last nite?lol,positive,negative,Logistic Regression
@usecondoms how was it? all of our friends are leavingggg,negative,positive,Logistic Regression
Watching the French Open. Djokovic is totally chocking,negative,positive,Logistic Regression
@wimjimjam yes yes yes... stupid people UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,negative,positive,Logistic Regression
scared her parents by saying she didnt have the car/house keys! Their faces LOOOOL,positive,negative,Logistic Regression
@gabbzilla even knew that kid. Double,negative,positive,Logistic Regression
@oliviaspruill i'll see if my mom wants to go on june 30 and i'll wear one then,positive,negative,Logistic Regression
&quot;Adverse Side Effects: Abnormal behavior...&quot; Damn. I'm out on the first one. Even before taking them,positive,negative,Logistic Regression
"Ah.... wondering what to get for dinner. And then a nap, and then ASF",negative,positive,Logistic Regression
says it's raining men! http://plurk.com/p/xd5ky,positive,negative,Logistic Regression
@Red1995 I know hot you feel. Listen to some MCR. It will make u feel better. It always does me,positive,negative,Logistic Regression
Looking for ideas! Got anything for a simple short video?? You will get credit but can't promise any pay. Sorry and thanks,positive,negative,Logistic Regression
My ladybug watch broke I got a dumb new one with butterflies. I also got @Mjohnsmusic 's new cd! And @realbrookewhite 's new single! #BSB,negative,positive,Logistic Regression
@ninalicious I wish all women had the same feeling - not just the preggers ones,positive,negative,Logistic Regression
Mulhouse 17 H F-musik le top http://is.gd/18mPk,negative,positive,Logistic Regression
off to school after my week off and i think @yaseminx3 is extremely lucky because she has today off!,positive,negative,Logistic Regression
Homesick and can't sleep...but I love seeing my nieces-tucking Maddie in last night and reading her a story,positive,negative,Logistic Regression
@kimwayans I can't wait to purchase your book... I am in an interracial marriage but no children yet but working on it,positive,negative,Logistic Regression
@Sarahsquirt its sooooo good...i just don't want the twilight series to end,negative,positive,Logistic Regression
@MistressRouge I know. Who will I look to for styling tips now both him and John Inman have gone?,negative,positive,Logistic Regression
"still struggling with the temptation of facebook and cyber social sites, HAHA. only on my 5th slide. @ ms deepa.",negative,positive,Logistic Regression
"Church with Camlo and Mandie!! (If you've never heard her sing, you're missing out!)",positive,negative,Logistic Regression
wants to go nail polish shopping haha ! kenzie home in one weeek,positive,negative,Logistic Regression
"@sexyundiesblog yes, but i'm on a budget for the moment... Undie-shop-stop...",negative,positive,Logistic Regression
@MixxedMami213 I'ma hit u on yahoo when i get upstairs.,negative,positive,Logistic Regression
@rehabc The follow up post is up! But its less offending and more sarcastic this time,negative,positive,Logistic Regression
Good Morning! Do you know what day it is in &quot;America . . . TODAY!&quot; ? - it's National Neil Diamond Day! &amp; I didn't get him anything #fb,negative,positive,Logistic Regression
@Volcompunk I hear that. &lt;3,negative,positive,Logistic Regression
"better roll to work, even though its my day off",negative,positive,Logistic Regression
@gfalcone601 oooo I would LOL you've probs left now though,positive,negative,Logistic Regression
i like messing with my bf and saying things like i can watch him play footie for hours but he cant shop with me,positive,negative,Logistic Regression
@ToniFerrara Phew.......I am soooooo glad Twitter does not have web cams. I have NO fashion sense,negative,positive,Logistic Regression
Is heading over to Nikki's bridal shower...no rain....no rain....and maybe a little booze.,positive,negative,Logistic Regression
@LuvableSole so i went today to pick up that lap top... my friend talked me out of it i came home dissapointed,negative,positive,Logistic Regression
@littledotty yes - i have to get there by 8 and it takes me 2hrs to get there lol,negative,positive,Logistic Regression
@lmayni You're on Twitter AND you have a new blog?? How come never tell me one?,negative,positive,Logistic Regression
is so freaking bored.....i think i seriously need a drink....or some candy or something lls,positive,negative,Logistic Regression
@marue720 nope i'm sooo curious....,negative,positive,Logistic Regression
@Gavernty gavin bean r u following me ?? U betta be I'm following you,negative,positive,Logistic Regression
"@newz_junkie that web sites 2 tiny 2 see on bb, I'm 2 lazy to get on computer, so I'll tweet the game this way.",positive,negative,Logistic Regression
"@heresMonique hey u, no not yet soon maybe tomorrow!",negative,positive,Logistic Regression
@ShannonMorgan Hunter S. Thompson was the man. Why do all the greats kill themselves? Makes you wonder? Sure does me.,negative,positive,Logistic Regression
@JulianneVictori hilig mo pala sa balls,positive,negative,Logistic Regression
"Tried a new bar, ordered my new bar test drink, a sidecar, came with a lemon slice, not a fan. half the glass was sugared vs the rim.",negative,positive,Logistic Regression
Was the only yr 11 in choir today.,negative,positive,Logistic Regression
Good morning twitlings. I'm exhausted,negative,positive,Logistic Regression
"Perceiving the crawling pace of summer days passing. All year I wait for summer, yet at its arrival I wait for its departure.",negative,positive,Logistic Regression
~ @adamostrow reminds me of the &quot;1 unread sms&quot; issue on the iPhone..,positive,negative,Logistic Regression
Did I mention that all of my quiz notebooks for school are Hannah Montana? It's so said that it's gonna end...,negative,positive,Logistic Regression
@nsmonkeygirl I generally don't mind being lanky. Right now? Not a fan. and I'm not even that tall!,positive,negative,Logistic Regression
Yay I wasn't blocked @magnusholmgren,positive,negative,Logistic Regression
I wonder what today will bring I forcast lots of cleaning and tidying,negative,positive,Logistic Regression
Why do guys gota break girls hearts...,negative,positive,Logistic Regression
i miss watching x-men again. haha i think i'll have a movie marathon this morning.,negative,positive,Logistic Regression
@THEREALJMAC tryna make some money,negative,positive,Logistic Regression
"weekend yet????????????????????? work is killing me, thanks new girl for quiting.",negative,positive,Logistic Regression
Can't get sound working... and 200th tweet.,positive,negative,Logistic Regression
"@Doppler I don't think cold showers do either, but I think I will take a hot shower just based on principle",positive,negative,Logistic Regression
@Web2Discover Amazon Kindle DX just for the US/Canada,negative,positive,Logistic Regression
Playing my guitar on the porch... Angie is making fun on me...,negative,positive,Logistic Regression
i feel so silly today..maybe cuz its friday,positive,negative,Logistic Regression
Shoot today soooo early!,positive,negative,Logistic Regression
and Karol dropped off Luke for his first day of daycare.,negative,positive,Logistic Regression
@neboweb I have looked at your site 3 times! You are not hiring!,positive,negative,Logistic Regression
"favorite song, Summertime Clothes from AnCo's Merriweather Post Pavilion. Hercules and Love Affair was cancelled tomorrow is Friday..:-D",negative,positive,Logistic Regression
"state of shock is the in-thang, baby. woohooo! and on the sidenote, music folder exploding soon",negative,positive,Logistic Regression
Thinks this is LAME! Hahaa!,positive,negative,Logistic Regression
@larrycincy We met at Red Robin up in Union Ctr. Missed the parking lot issues,positive,negative,Logistic Regression
"http://twitpic.com/6p0de - And she was sold last week! You gotta be in it to win it, innit! â¥",positive,negative,Logistic Regression
so freakin tired!!! i gotta go to band practice tommmorw bright and early! yay,negative,positive,Logistic Regression
"Well, here I sit. ...sorting through data for the man. I'm excited though...lots of great weddings coming up in the coming weeks! Fun!",negative,positive,Logistic Regression
@JamesDReid i got coupons to Popeye's chicken but I'll probably end up getting a burrito at freshii - this salad joint. healthy,negative,positive,Logistic Regression
"I have a love hate relationship with van, It shuts down if you lock it with the remote but open it with key. Thinks u r stealing it.",negative,positive,Logistic Regression
@andyclemmensen is that why u married a bogan,negative,positive,Logistic Regression
@cookiedorksx3 hey lily. (: you okay now?,negative,positive,Logistic Regression
@Alexemergency okay...why not! uhm...do i need sturdy shoes? XD,positive,negative,Logistic Regression
"The birthday celebrations continue, Still on a high from Elton last night. Family over now and they brought cake My bday isnt till Monday",positive,negative,Logistic Regression
@nitadarling hahahaha....I have a smart asian...just not in my class,positive,negative,Logistic Regression
"weight training,humanities,astronomy x2,math - guitar ; last day of sunshine &lt;3",negative,positive,Logistic Regression
Sitting in the sun waiting for the bus,positive,negative,Logistic Regression
Is rather tyrd now,negative,positive,Logistic Regression
WOW i'm Was kinda hppy tooo not have hater but i'm happy they BAK! THat MEAN! i'm Doin Sum tin Right Again And they Can't KEEP UP!,positive,negative,Logistic Regression
@HarryHarley Whew! I was a bit scared there. I was about to put up the garlic.,positive,negative,Logistic Regression
@anca_foster The person was in the country i was going to ;) i was going alone long story i wont share on twitter ;) can email tho,positive,negative,Logistic Regression
six flagsss summer kick off concert with chirstieeee!!,positive,negative,Logistic Regression
myspace and being extremely bored..,positive,negative,Logistic Regression
Working...Billing System,positive,negative,Logistic Regression
sunbathing instead of history essays is alot funner,positive,negative,Logistic Regression
@doublethecookie,negative,positive,Logistic Regression
In NY they don't dress for comfort!,positive,negative,Logistic Regression
"@Suzanne_McLeod No prob, blitzed it on FB too.",positive,negative,Logistic Regression
"yay #GilmoreGirlsSunday today watching season 3 again, but I wanna have a 8th season or a movie",negative,positive,Logistic Regression
not long been up mark is on his way over with 50 cases of wine for me,positive,negative,Logistic Regression
"Chips &amp; Dr. Pepper time. Yes, I'm THAT discouraged ALREADY!",negative,positive,Logistic Regression
"@EddyRhead customer I think. I am aware I do have a boyfriend, but flirting here might get me cheaper tariffs. Plus he has lovely eyes.",negative,positive,Logistic Regression
Just got up. I have an eye appointment later today :/. Then going to school to see everybody.,positive,negative,Logistic Regression
I suck at golf! =( but at least I can swing,positive,negative,Logistic Regression
call of duty uiiiii,positive,negative,Logistic Regression
@Juliet17101 oh yeah! I knew I recognised him when he came into Corrie! What a come down,negative,positive,Logistic Regression
@AgesTheGreat aww,positive,negative,Logistic Regression
@JonathanRKnight And we are eternally grateful for the sacrifices that you make for us. U guys are never taken for granted,positive,negative,Logistic Regression
"I am at home, waiting to get to work..",positive,negative,Logistic Regression
"@patryklarney tell me about it. i just worked a 70 hour week. i need some grass, a blanket and you and your guitar!",negative,positive,Logistic Regression
@Impala_Guy Yeah this is really annoying - will send u mine also next time,positive,negative,Logistic Regression
Wants it to be Summer Already!,positive,negative,Logistic Regression
mary heath will be here in: 2 hours,positive,negative,Logistic Regression
Really need to start getting to work on my flickr project,positive,negative,Logistic Regression
time to study ..two exams and then i'm donne,positive,negative,Logistic Regression
@ShanaeRawlings joking :p. AND don't forget its freaking cold and put a jumper on and im wearing shorts for some reason,positive,negative,Logistic Regression
For some reason I thought it was gonna be Battlefront III,negative,positive,Logistic Regression
i hope this day goes soo slowwww,negative,positive,Logistic Regression
You're a loser.,positive,negative,Logistic Regression
"This woman is speaking Japanese to me..ummm, slow down..slow down.. Precious moments..!",positive,negative,Logistic Regression
"falling in love ,tapi nasib dengerin dia curhat tentang tu cewe terus",negative,positive,Logistic Regression
@girly_scribbles leave work at work,positive,negative,Logistic Regression
"omahgawd, I'm graduating tomorrow",positive,negative,Logistic Regression
@JaeChartaye I could ask you the same thing,negative,positive,Logistic Regression
@JessicaSieghart I think it's time to check and make sure Twitter hasn't involuntarily unfollowed some of my favorite tweeps,negative,positive,Logistic Regression
Driving Lizzie to the airport. Say good bye Lizzie.,negative,positive,Logistic Regression
@Tharomas 24,negative,positive,Logistic Regression
"so, here we go",positive,negative,Logistic Regression
"nothingggggggggggggggggggggg! bored as, feels like playing some sims",positive,negative,Logistic Regression
"@p_jayadeep Once you give-in, its blissful #bangalore #rains #cycling http://ow.ly/7yd4",positive,negative,Logistic Regression
So I picked up the guitar today &amp; played it.. Man that was scary!! LOL During worship too!! I need a teacher!! I really wanna learn!,positive,negative,Logistic Regression
Just talked to advisee working on Meteorology and Chemistry majors and Math and Physics minors... exhausting just to think about it.,positive,negative,Logistic Regression
@dannynic PC hmmmmmm why am I not surprised,positive,negative,Logistic Regression
Italian Shaved on the mall is D-licious and all over me!!! and my printer... But it is D-Licious!,negative,positive,Logistic Regression
@Owl311 White... &amp; don't ask how I know...,negative,positive,Logistic Regression
"OMG, my apologies for all the old tweets, folks. we just relaunched the site and it seems our twitter client went nuts -thanks @cdernbach",negative,positive,Logistic Regression
Feel like eating the choc fudge cake frm prima deli..,negative,positive,Logistic Regression
@vargasl yeah. unfort seems att ws is out of stock on the 16gb refurbs,negative,positive,Logistic Regression
@kitrodiek damn procrastinators. Always behind. get it done so you can get out there tomorrow......,positive,negative,Logistic Regression
@delaney_55 oh please you are so young. You are going to be a young grandma.,positive,negative,Logistic Regression
