text,actual_label,predicted_label,confidence
"When I look for new cars, I expect not to be shown boats. When I drink fountain Coke, I should expect that the drink contains Coke. When I watch a movie that embellishes itself with the name of en excellent scientist, I expect that it is in some way relevant to that person or their work. This could have been people discussing my grannys' diary. The material covered is relevant only in that they vaguely tirade science. I fell asleep the first time I tried to watch it, & the second time I stopped watching it.<br /><br />I love science & documentaries. I would rather watch them over the latest blockbuster. However this falls far short of providing anything worth your time  Avoid at all costs.",0,1,0.5460753
"New Year's Day. The day after consuming a few too many vodka martinis and Cosmopolitans mixed with a bunch of bubbly at midnight, my wife and I discovered the local cable company is offering up the digital specialty channels for free for the month of January. We had a choice - do we make use of the freebie channels or do we start watching the eight seasons of X-Files on DVD that we received from our daughter for Christmas?<br /><br />We elected for the digital freebie since the DVDs are going nowhere and we need something like ten twelve-hour days to watch all the X-Files beginning to end. The Drive-In channel was offering a horror classic three movie marathon: Asylum (1972), House of the Damned (1996) and The Pit and the Pendulum (1961). Asylum is well-reviewed here and the Pit and the Pendulum was on too late for us to watch which meant we could really only be properly critical for House of the Damned.<br /><br />To be honest, we tried to be serious about the movie since its stars have reasonably good acting credentials - Greg Evigan (William Shatner's over-written Tekwars) and Alexandra Paul (the only Baywatch babe who could act although she has the body of a ten-year-old boy). Unfortunately, we soon dissolved to giggles, under the influence of a little hair-of-the-dog, as we each shouted out the names of movies from which this dog borrowed its scenes: Poltergeist, The Shining, Hell House, House On Haunted Hill, Ghost Busters!<br /><br />The acting, especially by Evigan's real-life daughter, wasn't too bad considering the silly script they had to work with. The CGI, for 1996, was hilarious - at its worst point in the final scene when it should have been the most horrific it was so bad my wife and I dissolved in laughter.<br /><br />Overall: Acting 4/5, Script 2/5, SFX 0/5",0,1,0.5859401
"""The Bank"" (1915, Chaplin) ""The Bank"" was one of Charlie's 1915 Essanay films. While these group of films are more watchable than their 1914 counterparts, this one seems a bit below average. The gag with the janitorial double combo-locked vault and the tough-luck ending that has Charlie waking up from a dream, in which he is stroking the lead lady's hair, only to be stroking the head of a mop he had used as a quasi pillow, are both classic Chaplin moments. They are both ironically the beginning and the end. The middle is filled in with fighting with the rival co-worker janitor and busting up a bank robbery to win the girl. The mop is probably the greatest physical prop of this movie and Charlie uses it to expert comedic effect whether while it is the intention of his character or not. The mop seems to be Charlie's alter-ego doing things he wishes he could do but wouldn't with his own two hands. Interesting stuff but there's better.",0,1,0.5253323
"It is now clear that the true golden age of American film was from the mid-60s until just before the release of Star Wars. Before then, there was too much Hays Code-constricted pap. With Star Wars, the green light was lit for most films to be directed at children and morons, a practice which continues to this day. THE SEVEN-UPS, truth be told, contains a couple hackneyed lines of dialogue -- ""We can do this the easy way, or we can do it the hard way"" is one -- but I'm damned if I can find anything else wrong with it. (In fact, that line may not even have been stale when this film was made.) THE SEVEN-UPS demonstrates all that was right with the best films of the golden age: sparse dialogue, realistic acting, real locations (winter in a dirty New York has never looked better/worse), propulsive stories, and, yes, the best car chase ever filmed. Bill Hickman is the driver Scheider is chasing (you will recognize him from Bullitt), and the structure of the chase is fairly similar to the McQueen one, but I prefer Scheider's facial intensity here, the pacing, the terrific close-ups of the schoolchildren, and the shattering conclusion. (That VW bug going about 2 mph always bothers me in the Bullitt chase.) A stringy, screechy score by Don Ellis sets the perfect mood. THE SEVEN UPS: bleak, grim, action-oriented, grown-up. This is a film that couldn't be made today; there's no ""gimmick"" for the kiddies or preposterous ending. Thank you, Philip D'Antoni, Roy Scheider and Tony Lo Bianco: for as long as cop films are watched, THE SEVEN-UPS and its 1970s brethren (e.g., THE FRENCH CONNECTION), will set the standard.",1,0,0.62577784
"Found a copy in a bargain bin sale of this old time classic. I played it with dosbox on a vista machine without any issues. It's graphically dated heavily, but what do you expect for a 12 year old game! The game is a FPS/Adventure game hybrid. It's what I call pseudo 3D, you can't look up or down, just spin in 360 (think Wolf3D). Game play can get tricky with a very limited supply of health pots, and a somewhat average interface (Tip: Press I), but on the whole it's passable.<br /><br />One main strength of the game is the mood. There game heavily uses full motion video, and whilst the acting is b-grade and the plot is very choppy, the game as a whole feels genuinely creepy. It also does a good job of making you question the 'good guys'. Are they really helping, or are they just waiting to stab you in the back? The other major selling point is the games length. There are from memory 18 chapters, which range in game play time from 10minutes to, potentially, hours. My first play through took me a week with some serious devotion of time.<br /><br />Dated, yes, but if you missed this years ago and can find it for $5, give it a look. Cheaper than a movie, and more entertaining than most movies.",1,0,0.58687896
"World War I gets a glossy, sepia-tinted makeover in Jean-Pierre Jeunet's relentlessly whimsical ""A Very Long Engagement"". Jeunet's trademark style consists of mechanical, almost clockwork-like narrative construction garnished with lavish, chocolate box production values and seasoned with faux-naive humour. It's an approach that worked pretty well with his previous picture, the romantic fantasy ""Amelie"", thanks in no small part to the inimitable contribution of Audrey Tatou in the title role. Applied to vastly more sombre material, Jeunet's method backfires rather badly.<br /><br />Tatou crops up again here in a variation on the same sort of sweetly off-beat character as Amelie. She's Mathilde, an orphan who lives quietly with her aunt and uncle in an idyllic rural setting, determined to trace what became of her child sweetheart Manech (Gaspard Ulliel), several years after he went missing in the War. Manech was one of five soldiers court-martialled for self-mutilation in 1917 at 'Bingo Crepuscule', and sent over the top into no-man's-land as a punishment. He's presumed dead by all but Mathilde who cherishes the hope of finding him. The film follows Mathilde's dogged quest to find out what really happened, and as she delves deeper she uncovers a sad, even shocking story of high-ranking corruption and inhumanity. Mathilde must filter the facts from the fictions that arise from various conflicting, overlapping or incomplete accounts of what seem to be Manech's final hours.<br /><br />All this should be poignant and gripping, but it's more often simply confusing thanks to the visual and verbal clutter with which Jeunet pummels his audience. There's simply too much going on at any one time, including an intrusive narration that adds precisely nothing to our appreciation of the story and characters. Without a moment's respite from informational overload, I felt denied the space to reflect on Mathilde's quest or the room to engage with it on my own terms. Jeunet's unceasingly busy camera spirals and swoops and circles, caressing every surface contour of his exquisitely designed production, but it singularly fails to penetrate to the soul beneath the story's skin. The result is deeply uninvolving, and worse, grotesque. The First World War was a particularly dark hour in human history. Imagine it re-created as one of those picturesque commercials for a well known Belgian lager, and you have the measure of this film.",0,1,0.6708282
Saw this movie at the Rotterdam IFF. You may question some decisions of the maker - like choosing a mockumentary form for such a sensitive and horrible subject - but this movie sure hits you in the gut. Especially the last scenes were almost painful to watch. Hope it gets the distribution it deserves.,1,0,0.5623608
"not to long after Jeff Jarrett left the WWF for good he spoke of that night . Owen Hart and him where good friends and both 2nd generation wrestlers. Jeff first remarks ""I was literally pushed thru the curtain as my lifeless friends body was wheeled past me "" . Debra McMichael( Steve Austin's Ex wife as well as Steve Mondo McMichael Ex wife"".) <br /><br />As Owen Hart Fell, a video promo the ring was darkened, as a Blue Blazer (owen Hart Promo was played. The fall and video of owen in the ring was never showed on TV. There are a few news photos that got posted. When they came back from the video promo Jim ross was talking over a all we had was a crowd shot \., He stated that Owen Hart as The blue blazer has fallen and doesn't look good. Lawler then came back from the ring his face was ashen he told Jim that the situation was very critical paramedics where working hard to revive him. Rock And HHH where going there match in a private room when another Referee came in and told them Owen fell at first,knowing Owen Harts constantly being a prankster they thought it wasn't real. But both later stated that the look of the referee face said it all. In fact as he fell ,as mentioned in other post , he yelled for the referee and ring announcer to move. <br /><br />Brother Bret hart was a plane heading to LA to do a angle on the Tonight Show , he couldn't get any of the plane phones to work, One of the captains got a message to call home something had happened. When he landed in La Eric bishoff was there told him what had happened, and put him on a charter flight to Kansas City to the morgue, Bret even later with Owens widow Martha went up to the top of the arena where Owen was standing. Police found no foul play formerly closed as a accident .<br /><br />Most of the Information in Bret Harts book as well as the book by Martha Hart ,",0,1,0.50915414
"After 7 years of watching that dreadful nonsense called Star Trek Voyager I was feeling pretty numb. Next Gen and DS9 were bloody good stuff and Voyager ruined TV Trek. This opened with probably the best pilot to a Trek show. The crew were really good as were the choice of actors for the parts. Scott Bakula played a typical first time captain in deep space and his unpolished way of doing things was a refreshing change to the already know everything captains from before. The rest of the crew were really likable in their roles and I think they got off to a good first season. When the show was prematurely canceled I was really disappointed. In A Mirror Darkly showed us what the cast were capable of. Pity a film or TV movie was never considered. So much back story and founding of the federation left to tell, including the onset of hostilities with the Klingons..........",1,0,0.52246344
"Sorry to disagree with you, but I found the DKC series to be quite engaging. So much so that I invested in the SNES system and my own copies of the games. This is, mind you, almost ten years after the initial release of DKC 1. The graphics were ground-breaking for their time, the first vector graphics games for home systems. The music and characters are all memorable, and the games brought myself and my girlfriend dozens of hours of entertainment. True, the second game was better than the first, and the third was perhaps lacking the 'edge' of the second installment. But all three offered different play, and I enjoy them to this day. By the way, I'm old enough to remember when there were NO video games whatsoever (and TVs were black and white!).",0,1,0.66757816
"""The Ballad of the Sad Café"" worked hard at its image, but when it came down to crunch-time, it was left standing in its own self-created dust.<br /><br />One cannot image saying this out loud, but if Vanessa Redgrave's Amelia were to fight John Wayne or even Clint Eastwood, my hard-earned dollars would have to go to Redgrave. Her portrayal of Amelia was as close to perfection and consumed with more detailed dedication than most actors are willing to give to any multi-million dollar contracted persona. Redgrave gave Amelia this soulful drawl that was a blend of her own unique voice and a hard-earned woman from the south. To the average viewer, this could be construed as annoying, but as the film progressed it became her  Miss Amelia transforming this stage beauty into a roughneck. It was Redgrave's performance, as well as her interaction with the other characters, that made this film stand tall  but not the tallest. The others following her performance were needed, but not stellar. As we moved past the murky cliché image passed on by every set designer hired for the post-Depression South job, the minor characters felt like poster board. The image was needed to set the scene, but the characters of the town had no other purpose. Take for example Rod Steiger's vision of some old, wild spoken preacher. His scenes alone will make any viewer question the validity of this off-the-beaten-path town. The main two players who surrounded Amelia battled with charm for the admirable top scene-stealing moment, but due to the lacking direction  it just seemed faded. The most absurd of the two (albeit both rank high among the questionable sanity line) is Cork Hubbard who plays Amelia's ""cousin"" who shows up randomly one night. His character is never quite defined, he lacks true motive, and his loyalties remain uncertain. He plays no vital role in this film outside of forcing us, the viewers, to question his sanity and honesty. Can you create a character simply by sticking out your tongue, flicking your ears, and punching your chest and head? Finally, there is the other end of the absurd  Keith Carradine. Callow's close-ups of this tormented man build character, but our lack of understanding between him and Amelia causes his purpose to flounder. These were the characters, as cliché Southern as they were  some stood forward and attempted to create an absurdist period piece, and I cannot argue that they failed.<br /><br />Where ""Ballad of the Sad Café"" failed to rise above mediocrity was in the cinematography and narrative. This film was about Amelia, and her need for other souls in her life. The audience's level of comfort with the arrival of her midget cousin was entertaining  one couldn't help but wonder if he was honest or merely a confidence man attempt to leech off a warm heart. Cork Hubbard's character is never quite understood, but we do accept him with brief shots of him and Amelia doing small things together. It is his idea that transforms from a recluse businesswoman to a bona-fide café owner. The problem is that director Callow never quite takes us to that dramatic take level between Cork and Redgrave  is the man crazy or does he represent all of Amelia's family? I needed something from Callow that brought these two out of the David Lynch-esquire relationship that they had. Then our pool gets even deeper with the addition of Carradine as Amelia's ""love interest"". Using the technique of a flashback within a flashback, we see the two wed, but never consummate their love  which Amelia's anger against their love drawing him into the world of madness. Why was Amelia so angry? Why was there no connection between Carradine and Redgrave? Why was this even in the film? With the lack of focus towards these characters's connection, the eventual scenes between the two made no sense  throw in Cork's choice and it just gets completely discombobulated. While there were a few beautiful choreographed scenes that Callow created, the inability to transfer his characters from point A to point B. I lost focus, interest, and my care for the characters plummeted when I didn't understand the ultimate question  ""why""? <br /><br />Overall, ""The Ballad of the Sad Café"" began with a bang, but ended with a very small crack of a firecracker. My emotional feel of this film swung up and down, up and down, and eventually stayed further down mainly due to the lack of understanding of the motives of the characters. Redgrave did a phenomenal job as Amelia, and while the other characters (outside of the random Steiger) tried their best, I just didn't quite understand who they were. Their motives were so muddled that when the emotional ending finally occurred, I was apathetic. Director Callow seemed to have been lacking importing connecting scenes that would allow us to understand the dynamic relationship between all of our main players. Callow created some beautiful scenes where faces seemed to overlap the scenery, which allowed us to focus on Amelia  or Carradine, but nothing was explained or developed. The film played out with anger, discover, happiness, flashback, anger, anger, anger, fade out. Without the comparative connectors, this transformed from distinguished period film to actors playing parts in front of camera. It was a shame, because ""Sad Café"" had the promise, it just couldn't deliver.<br /><br />Grade: ** ½ out of *****",0,1,0.662378
"This review has been written by someone who has read it (several times) and knows what they are talking about!. Firstly I have read others comments and noticed that some of the objections were really quite stupid. People who have read the book and other Jane Austens or for that matter any good book, will know that sticking to the book is vital you have to trust an author with what they do. If the viewer does not like it BECAUSE it sticks to the book well it shows they do not understand Jane Austen and obviously are not a true fan.<br /><br />Firstly if the viewer truly loved the book or Jane Austen in general, watching it for four hours should not prove difficult. Secondly, their society did care a lot for looks and so big, fancy hair styles would show off how rich you were, which in their day was a key factor for getting along in ""good"" society. I have to confess the female costumes were not brilliant but there were only a few bad ones and the males made up for it, also this prejudice for the Naval men not in their uniform is in nice words very silly!, today people do not go out with their uniform away from school or work because they have casual clothes and it was just the same in the 19th century. Also as it goes the acting is very good, it is subtle because that is how Jayne Austen writes! and the scene at the end is beautiful. You can not compare the filming to that of the 1995 version as technology has improved so much since them it is ridiculous to compare them in that. The actress who plays Ann is too old but her air of acting and how she does it makes up for it.<br /><br />People seem to prefer the 1995 version for some reason that I can not comprehend!. It does not stick to the book at all and so is flat, the ending is sentimental, they change major scenes, the only good actors are the leads and they I give you did a good job for what was given to them. Obviously the people who really, really like it are (I am sorry) stupid as they do not understand Persuasion and so need it to be overdone. The 1971 version is beautiful, romantic, was written by an excellent script writer (same who did Inspector Morse), had very good actors and really it is a film you can watch many times and during each you can be delighted with it.",1,0,0.5683372
